ID,invoiceNumber_jaro,invoiceNumber_jaro_inv,invoiceNumber_damlev,invoiceNumber_q2,invoiceNumber_q3,invoiceNumber_long2,invoiceNumber_long3,invoiceNumber_sw,suppName_jaro,suppName_damlev,suppName_q2,suppName_q3,suppName_long2,suppName_long3,suppName_long4,same_suppRef,same_baseAmount,same_enteredDate,same_paidDate,same_user,duplicate
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0,1,0,1,1
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
50,0.485897436,0.485897436,0.230769231,0.095238095,0,0.173913043,0,0.086956522,1,1,1,1,1,1,1,1,0,1,1,0,0
51,0.966666667,0.944444444,0.833333333,0.888888889,0.857142857,0.909090909,0.909090909,0.909090909,0.573569024,0.491582492,0.444444444,0.416666667,0.428571429,0.333333333,0.333333333,0,0,1,0,1,0
52,0.601190476,0.601190476,0.375,0.214285714,0.153846154,0.266666667,0.266666667,0.266666667,1,1,1,1,0.666666667,0.666666667,0.666666667,1,0,1,0,1,1
53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,1,0,1,0,0,0
54,0.957777778,0.962222222,0.833333333,0.7,0.444444444,0.909090909,0.909090909,0.690909091,1,1,1,1,1,1,0.666666667,1,0,1,0,0,1
55,1,1,1,1,1,1,1,1,0.630787037,0.423611111,0.291666667,0.291666667,0.25,0.25,0,0,0,1,0,0,1
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,1,0,1
57,0.952,0.825,0.8,0.777777778,0.75,0.8,0.8,0.8,1,1,1,1,1,1,0.666666667,1,1,1,1,1,0
58,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.25,0,0,1,0,1,1
59,1,1,1,1,1,1,1,1,0.90337037,0.75,0.798245614,0.742647059,0.830357143,0.830357143,0.642857143,0,0,1,0,0,1
60,1,1,1,1,1,1,1,1,0.551256614,0.232738095,0.051282051,0,0.088888889,0,0,0,0,1,0,0,1
61,0,0,0,0,0,0,0,0,0.508055556,0.2875,0.2,0.2,0.2,0.2,0,0,0,1,0,1,0
62,0.966666667,0.990666667,0.9,0.941176471,0.933333333,0.947368421,0.947368421,0.947368421,1,1,1,1,1,0.666666667,0.333333333,1,0,1,0,1,1
63,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.333333333,1,0,1,0,0,0
64,0.981333333,0.859259259,0.9,0.888888889,0.875,0.9,0.9,0.9,1,1,1,1,1,1,1,1,0,1,1,1,0
65,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.333333333,1,0,1,0,1,1
66,0.963333333,0.916666667,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,0.75,1,1,1,1,1,0
67,1,1,1,1,1,1,1,1,0.520634921,0.226190476,0.090909091,0,0.153846154,0,0,0,0,1,0,0,1
68,0.805714286,0.714285714,0.571428571,0.5,0.4,0.571428571,0.571428571,0.571428571,1,1,1,1,1,1,1,0,0,1,0,1,0
69,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.5,0.25,1,0,1,0,0,1
70,1,1,1,1,1,1,1,1,0.487301587,0.216666667,0.083333333,0,0.166666667,0,0,0,0,0,0,1,0
71,0.998518519,0.977777778,0.933333333,0.962962963,0.96,0.965517241,0.965517241,0.965517241,1,1,1,1,1,1,1,1,0,1,1,1,1
72,0.952380952,0.975238095,0.857142857,0.909090909,0.888888889,0.923076923,0.923076923,0.923076923,1,1,1,1,1,1,0.333333333,1,0,1,0,1,1
73,0.963333333,0.916666667,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0,1,0,1,0
75,0.9,0.795555556,0.75,0.571428571,0.5,0.625,0.625,0.625,1,1,1,1,1,1,1,1,1,1,1,1,0
76,0.967407407,0.925925926,0.777777778,0.857142857,0.833333333,0.875,0.875,0.875,0.633818342,0.398148148,0.333333333,0.333333333,0.166666667,0.166666667,0.166666667,0,0,1,0,0,1
77,0.893333333,0.711111111,0.52,0.631578947,0.555555556,0.7,0.7,0.64,1,1,1,1,1,0.666666667,0.666666667,1,0,1,0,1,1
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333,1,0,1,0,0,1
79,0.956666667,0.916666667,0.75,0.714285714,0.666666667,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0
80,1,1,1,1,1,1,1,1,0.553555556,0.494444444,0.266666667,0.266666667,0.333333333,0.333333333,0.333333333,0,0,1,0,1,1
81,1,1,1,1,1,1,1,1,0.782242063,0.682142857,0.625,0.583333333,0.625,0.5,0.5,0,0,1,1,0,1
82,1,1,1,1,1,1,1,1,0.413580247,0.148148148,0,0,0,0,0,0,0,1,0,1,0
83,1,1,1,1,1,1,1,1,0.684704185,0.538961039,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,1,1,0,0,1
84,0.963333333,0.916666667,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0
85,0.981333333,0.933333333,0.9,0.888888889,0.875,0.9,0.9,0.9,1,1,1,1,1,1,1,1,0,1,1,1,0
86,1,1,1,1,1,1,1,1,0.81729798,0.702840909,0.644230769,0.625,1,1,1,0,0,1,0,0,1
87,0.909,0.741666667,0.6,0.555555556,0.5,0.6,0.6,0.6,1,1,1,1,1,0.666666667,0.333333333,1,1,1,0,1,0
88,0.804571429,0.742857143,0.571428571,0.333333333,0.2,0.428571429,0.428571429,0.428571429,1,1,1,1,1,1,1,1,1,1,1,1,0
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0,0,0,1,0
90,1,1,1,1,1,1,1,1,0.479365079,0.233333333,0.078125,0.035714286,0.138888889,0.083333333,0,0,0,1,0,1,1
91,0.942857143,0.912380952,0.857142857,0.666666667,0.6,0.714285714,0.714285714,0.714285714,1,1,1,1,1,1,0.666666667,1,1,1,1,1,0
92,1,1,1,1,1,1,1,1,0.500744048,0.25,0.135885167,0.076923077,0.165266106,0.117647059,0.117647059,0,0,1,0,0,1
93,0.963333333,0.869047619,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,0,1
94,1,1,1,1,1,1,1,1,0.62037037,0.527777778,0.5,0.5,0.5,0.5,0,0,0,1,0,0,1
95,0.916666667,0.963333333,0.875,0.857142857,0.833333333,0.875,0.875,0.85,1,1,1,1,1,0.666666667,0.333333333,1,0,0,0,0,1
96,1,1,1,1,1,1,1,1,0.540123457,0.273726852,0.048611111,0,0.095238095,0,0,0,0,1,1,0,1
97,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.333333333,1,1,1,1,1,0
98,1,1,1,1,1,1,1,1,0.498888889,0.225873016,0.142222222,0.123076923,0.196078431,0.196078431,0.196078431,0,0,1,0,0,1
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333,1,0,1,0,1,1
100,0.976666667,0.805555556,0.75,0.842105263,0.823529412,0.857142857,0.857142857,0.857142857,1,1,1,1,1,1,1,0,0,1,0,1,1
101,0.95047619,0.904761905,0.857142857,0.833333333,0.8,0.857142857,0.857142857,0.857142857,1,1,1,1,1,1,0.666666667,1,1,1,1,1,0
102,0.99829932,0.976190476,0.928571429,0.96,0.956521739,0.962962963,0.962962963,0.962962963,1,1,1,1,1,1,0.666666667,1,0,1,0,1,0
103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,1,0,1,1,1,1
104,0,0,0,0,0,0,0,0,0.351466049,0.165509259,0,0,0,0,0,0,0,1,0,0,0
105,0.866666667,0.777777778,0.555555556,0.5,0.428571429,0.555555556,0.555555556,0.555555556,1,1,1,1,1,1,0.571428571,1,0,1,1,1,0
106,0.963333333,0.916666667,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0
107,0.886574074,0.427777778,0.416666667,0.5625,0.533333333,0.588235294,0.588235294,0.588235294,0.42898715,0.121428571,0,0,0,0,0,0,0,1,0,1,0
108,0.973333333,0.884259259,0.888888889,0.875,0.857142857,0.888888889,0.888888889,0.888888889,1,1,1,1,1,1,1,1,1,1,1,1,0
109,0.990666667,0.966666667,0.9,0.941176471,0.933333333,0.947368421,0.947368421,0.947368421,1,1,1,1,1,0.75,0.25,1,0,1,0,1,1
110,0.577777778,0.577777778,0.333333333,0.222222222,0,0.363636364,0,0.254545455,0.35515873,0.116815476,0,0,0,0,0,0,0,1,0,0,0
111,0.436507937,0.436507937,0.142857143,0,0,0,0,0.153846154,1,1,1,1,1,1,0.75,1,0,1,0,0,1
112,1,1,1,1,1,1,1,1,0.516843034,0.240740741,0.083333333,0,0.074074074,0,0,0,0,1,0,1,0
113,0.998518519,0.977777778,0.933333333,0.962962963,0.96,0.965517241,0.965517241,0.965517241,1,1,1,1,1,1,1,1,0,1,1,1,1
114,0.671428571,0.707936508,0.3,0.266666667,0,0.470588235,0,0.188235294,0.702645503,0.527777778,0.472222222,0.416666667,0.411764706,0.333333333,0,0,0,1,0,0,0
115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
116,0.53968254,0.53968254,0.142857143,0,0,0,0,0.153846154,0.549272487,0.18452381,0.135416667,0,0.277777778,0,0,0,1,1,0,1,0
117,0.95047619,0.904761905,0.857142857,0.833333333,0.8,0.857142857,0.857142857,0.857142857,1,1,1,1,1,1,0.666666667,1,1,1,1,1,0
118,1,1,1,1,1,1,1,1,0.699900794,0.446428571,0.375,0.375,0.25,0.25,0.25,0,0,1,0,0,1
119,0.864197531,0.666666667,0.5,0.4375,0.333333333,0.529411765,0.411764706,0.411764706,1,1,1,1,1,1,0.8,1,0,1,1,1,1
120,0.786262626,0.956363636,0.818181818,0.7,0.666666667,0.727272727,0.727272727,0.672727273,1,1,1,1,0.8,0.8,0.6,1,1,1,1,1,0
121,1,1,1,1,1,1,1,1,0.516843034,0.240740741,0.083333333,0,0.074074074,0,0,0,0,1,1,1,0
122,0.982666667,0.98,0.9,0.941176471,0.933333333,0.947368421,0.947368421,0.821052632,1,1,1,1,1,1,1,1,0,1,0,0,1
123,0.998027613,0.974358974,0.923076923,0.956521739,0.952380952,0.96,0.96,0.96,1,1,1,1,1,1,1,1,0,1,1,1,1
124,0.714285714,0.737142857,0.428571429,0.166666667,0,0.285714286,0,0.228571429,1,1,1,1,1,1,1,1,0,1,0,0,1
125,1,1,1,1,1,1,1,1,0.914444444,0.836666667,0.831515152,0.8,0.861538462,0.8,0.4,0,0,1,1,0,1
126,1,1,1,1,1,1,1,1,0.569543651,0.325892857,0,0,0,0,0,0,0,1,0,1,1
127,1,1,1,1,1,1,1,1,0.547762346,0.190509259,0.029166667,0,0.045454545,0,0,0,0,1,0,1,1
128,0.913333333,0.833333333,0.75,0.714285714,0.666666667,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0
129,1,1,1,1,1,1,1,1,0.72037037,0.588888889,0.43627451,0.416666667,0.403508772,0.333333333,0.333333333,0,0,1,0,0,1
130,0.981333333,0.896296296,0.9,0.888888889,0.875,0.9,0.9,0.9,1,1,1,1,1,1,0.75,1,1,1,1,1,0
131,0.963333333,0.916666667,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,0,1,1,1,0
132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,1,0,1,1,1,0
133,1,1,1,1,1,1,1,1,0.682433862,0.478148148,0.393544974,0.266666667,0.565656566,0.333333333,0.333333333,0,0,1,0,0,1
134,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.333333333,1,0,1,0,0,0
135,0.913333333,0.722222222,0.75,0.714285714,0.666666667,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,0,1,0
136,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.333333333,1,0,1,1,1,1
137,0.979947403,0.960552268,0.923076923,0.88,0.833333333,0.923076923,0.923076923,0.846153846,1,1,1,1,1,1,1,1,0,1,0,1,0
138,0.916666667,0.916666667,0.75,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,0,1,1,0,1
139,0.963636364,0.963636364,0.909090909,0.8,0.666666667,0.909090909,0.909090909,0.818181818,1,1,1,1,1,1,0.5,1,0,1,0,0,1
140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
141,0.555555556,0.555555556,0,0,0,0,0,0.166666667,1,1,1,1,1,1,1,1,0,1,0,1,1
142,0.848888889,0.777777778,0.666666667,0.6,0.5,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,0.8,1,0,1,1,1,0
143,1,1,1,1,1,1,1,1,0.455555556,0.183333333,0,0,0,0,0,0,0,1,0,0,1
144,0.960552268,0.984220907,0.923076923,0.833333333,0.727272727,0.923076923,0.923076923,0.846153846,1,1,1,1,1,1,0.75,1,0,1,0,1,1
145,0.977777778,0.971851852,0.888888889,0.8,0.615384615,0.941176471,0.941176471,0.8,1,1,1,1,1,0.666666667,0.333333333,1,0,1,0,0,1
146,0.436507937,0.436507937,0.142857143,0,0,0,0,0.030769231,0.725033069,0.494047619,0.408653846,0.285714286,0.4,0.333333333,0,0,0,1,0,0,0
147,0.9,0.833333333,0.625,0.571428571,0.5,0.625,0.625,0.625,1,1,1,1,1,1,1,1,1,1,1,1,0
148,0.981333333,0.896296296,0.9,0.888888889,0.875,0.9,0.9,0.9,1,1,1,1,1,1,1,1,0,1,1,1,0
149,0.936666667,0.916666667,0.75,0.8,0.666666667,0.857142857,0.857142857,0.857142857,1,1,1,1,1,1,0.6,1,0,1,0,1,1
150,1,1,1,1,1,1,1,1,0.515931985,0.193445443,0.048214286,0,0.107954545,0,0,0,0,1,0,0,1
151,0.76,0.714285714,0.428571429,0.166666667,0,0.285714286,0,0.285714286,1,1,1,1,1,1,1,1,1,1,1,1,0
152,0.972789116,0.904761905,0.714285714,0.818181818,0.8,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1,0.333333333,1,0,1,0,1,1
153,0.9,0.777777778,0.75,0.571428571,0.5,0.625,0.625,0.625,1,1,1,1,1,1,1,1,1,1,1,1,0
154,0.998518519,0.977777778,0.933333333,0.962962963,0.96,0.965517241,0.965517241,0.965517241,1,1,1,1,1,0.666666667,0.666666667,1,0,1,1,1,1
155,0.527777778,0.361111111,0.125,0,0,0,0,0.085714286,0.410714286,0.107142857,0,0,0,0,0,0,0,1,0,0,0
156,0.85,0.683333333,0.625,0.571428571,0.5,0.625,0.625,0.625,1,1,1,1,1,1,1,1,0,1,1,1,0
157,1,1,1,1,1,1,1,1,0.597993827,0.371296296,0.291666667,0.25,0.214285714,0.166666667,0,0,0,1,0,1,1
158,0.888888889,0.933333333,0.833333333,0.8,0.75,0.833333333,0.833333333,0.8,1,1,1,1,1,1,0.666666667,1,0,1,0,0,1
159,0.975238095,0.952380952,0.857142857,0.909090909,0.888888889,0.923076923,0.923076923,0.923076923,1,1,1,1,1,0.75,0.75,1,0,1,0,0,1
160,0.865319865,0.988980716,0.818181818,0.894736842,0.888888889,0.9,0.9,0.9,0.878472222,0.78125,0.769230769,0.75,0.75,0.5,0.5,0,0,1,0,0,1
161,0.963333333,0.916666667,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0
162,0.5,0.611111111,0.222222222,0.153846154,0,0.266666667,0,0.266666667,0.38396164,0.204861111,0.117845118,0,0.223776224,0,0,0,0,1,1,0,0
163,0.75,0.83,0.625,0.428571429,0.333333333,0.5,0.5,0.45,0.525793651,0.119047619,0.181818182,0,0.307692308,0,0,0,0,0,1,1,0
164,0.44047619,0.829931973,0.285714286,0.375,0.285714286,0.444444444,0.444444444,0.444444444,1,1,1,1,1,1,1,1,0,1,0,1,1
165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,1,0,0,0
166,0.881656805,0.913609467,0.769230769,0.666666667,0.545454545,0.769230769,0.769230769,0.538461538,1,1,1,1,1,0.666666667,0.666666667,1,1,1,1,1,1
167,0.896825397,0.975238095,0.857142857,0.909090909,0.888888889,0.923076923,0.923076923,0.923076923,1,1,1,1,1,1,1,1,0,1,0,0,1
168,0.909333333,0.866666667,0.8,0.75,0.666666667,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,1,0
169,1,1,1,1,1,1,1,1,0.726851852,0.583333333,0.5,0.5,0.5,0.5,0.5,0,1,1,0,0,1
170,0.866666667,0.909333333,0.8,0.75,0.666666667,0.8,0.8,0.76,1,1,1,1,1,1,1,1,0,1,0,0,1
171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
172,1,1,1,1,1,1,1,1,0.840277778,0.734166667,0.551515152,0.533333333,0.461538462,0.4,0.2,0,0,1,0,1,1
173,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.666666667,0.333333333,1,1,1,1,1,1
174,0.924444444,0.888888889,0.666666667,0.6,0.5,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,0.666666667,1,0,1,1,1,0
175,1,1,1,1,1,1,1,1,0.84520202,0.710227273,0.736842105,0.583333333,0.857142857,0.666666667,0.666666667,0,0,1,0,0,1
176,0.940843845,0.786283892,0.681818182,0.619047619,0.55,0.681818182,0.681818182,0.572727273,1,1,1,1,1,1,0.75,1,1,1,1,1,0
177,1,1,1,1,1,1,1,1,0.49905303,0.194917929,0.132291667,0.03125,0.133823529,0.075,0,0,0,1,0,0,1
178,1,1,1,1,1,1,1,1,0.631303419,0.401442308,0.360526316,0.35,0.238095238,0.2,0.2,0,0,1,0,1,1
179,1,1,1,1,1,1,1,1,0.747448292,0.605757576,0.59030303,0.533333333,0.769230769,0.333333333,0.333333333,0,0,1,0,0,0
180,0.913919414,0.993197279,0.928571429,0.888888889,0.846153846,0.928571429,0.857142857,0.885714286,1,1,1,1,1,1,0.75,1,1,1,1,1,0
181,1,1,1,1,1,1,1,1,0.547588384,0.297348485,0.250811688,0.166666667,0.276923077,0.2,0.2,0,1,1,0,1,0
182,0.805714286,0.714285714,0.571428571,0.5,0.4,0.571428571,0.571428571,0.571428571,1,1,1,1,1,1,1,1,1,1,1,1,0
183,0.85,0.683333333,0.625,0.571428571,0.5,0.625,0.625,0.625,1,1,1,1,1,1,1,1,1,1,1,1,0
184,0.996666667,0.972222222,0.916666667,0.952380952,0.947368421,0.956521739,0.956521739,0.956521739,1,1,1,1,1,1,1,1,0,1,1,1,0
185,0.913333333,0.722222222,0.75,0.714285714,0.666666667,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0
186,0.963333333,0.916666667,0.875,0.857142857,0.833333333,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0
187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
188,0.804571429,0.824761905,0.571428571,0.333333333,0.2,0.428571429,0.428571429,0.428571429,1,1,1,1,1,1,0.666666667,1,0,1,1,1,0
189,0.909333333,0.866666667,0.8,0.75,0.666666667,0.8,0.8,0.8,1,1,1,1,0.666666667,0.666666667,0.666666667,1,0,1,0,1,0
190,1,1,1,1,1,1,1,1,0.866931217,0.747222222,0.690625,0.675,0.6,0.4,0.2,0,0,1,0,1,1
191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0,1,0,0,1
193,1,1,1,1,1,1,1,1,0.74033374,0.716117216,0.666666667,0.666666667,1,1,1,0,0,1,0,0,1
194,0.993197279,0.931972789,0.928571429,0.846153846,0.833333333,0.857142857,0.857142857,0.857142857,1,1,1,1,1,0.833333333,0.5,1,0,1,1,1,0
195,0.981333333,0.933333333,0.9,0.888888889,0.875,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0
196,0.425925926,0.425925926,0.111111111,0,0,0,0,0.133333333,0.699228395,0.406018519,0.364869281,0.291666667,0.361455108,0.25,0,0,0,1,0,0,0
197,0.787505828,0.957912856,0.692307692,0.693877551,0.638297872,0.745098039,0.666666667,0.643137255,0.467446327,0.166132479,0.048611111,0,0.047619048,0,0,0,1,1,1,1,0
198,1,1,1,1,1,1,1,1,0.768611111,0.6625,0.622222222,0.6,0.272727273,0.2,0.2,0,0,1,0,0,1
199,0.908518519,0.977777778,0.888888889,0.8,0.615384615,0.941176471,0.941176471,0.8,1,1,1,1,1,1,0.5,1,0,1,0,0,1
200,1,1,1,1,1,1,1,1,0.624228395,0.465277778,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0,1,0,1,1
201,1,1,1,1,1,1,1,1,0.743055556,0.6875,0.666666667,0.666666667,1,1,1,0,0,1,0,0,1
202,0.970666667,0.944,0.9,0.777777778,0.625,0.9,0.7,0.8,1,1,1,1,1,1,0.75,1,1,1,1,1,0
203,0.9,0.777777778,0.625,0.571428571,0.5,0.625,0.625,0.625,1,1,1,1,1,0.666666667,0.333333333,1,1,1,1,1,0
